"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
75,5,0,-0.123000003397465,0,0,110.400001525879,0,6.19999980926514,87.5166702270508,57.0559387207031,59.8499984741211,12,23.4502792358398,23.4502792358398,24.4899579828436
76,5,0,-0.120999999344349,0,1,110.800003051758,0,6.19999980926514,80.9833297729492,53.2677307128906,53.3166618347168,13,14.4372482299805,14.4372482299805,17.3366219202677
77,5,0,-0.138999998569489,0,1,114.300003051758,0,6.19999980926514,78.25,49.7323608398438,50.5833282470703,14,11.7039184570312,11.7039184570312,15.0588471094767
78,5,0,-0.0759999975562096,1,0,118.599998474121,0,6.19999980926514,74.3166732788086,47.6534690856934,46.6500015258789,15,7.77059173583984,7.77059173583984,12.9818741480509
79,5,0,-0.0320000015199184,0,0,123.699996948242,0,6.19999980926514,81.5192337036133,50.0477981567383,53.8525581359863,16,25.8251113891602,25.8251113891602,18.7720812284029
80,5,0,-0.115000002086163,0,1,125.5,0,6.19999980926514,79.9038467407227,48.5658302307129,52.2371788024902,17,24.2097244262695,24.2097244262695,17.4052153367263
81,5,0,-0.0979999974370003,0,1,126.099998474121,0,6.19999980926514,82.0227737426758,45.9496917724609,54.3560981750488,18,26.3286514282227,26.3286514282227,19.1981535691481
82,5,0,-0.159999996423721,1,0,125.900001525879,1,6.19999980926514,84.8837890625,46.9193496704102,57.2171211242676,19,41.3983497619629,41.3983497619629,24.3951330184937
83,5,0,-0.149000003933907,0,0,125.800003051758,1,6.19999980926514,48.1412811279297,50.1226997375488,20.474609375,20,12.3692855834961,12.3692855834961,18.9734946489334
84,5,1,-0.177000001072884,0,1,127.300003051758,1,6.19999980926514,49.1091995239258,50.7859992980957,10.7091999053955,21,2.50742721557617,2.50742721557617,17.5553980434642
